gene	logFC	P.Value
Bpifa1	0.523496035	2.06E-08
Ccdc84	1.353078696	2.06E-08
Tnfrsf17	0.515498636	2.07E-08
LOC102546943	0.273311485	2.07E-08
Akirin2	-0.613159585	2.07E-08
Pate4	0.290215586	2.08E-08
Popdc3	0.418117696	2.09E-08
Hmgcl	3.111889723	2.10E-08
Sf3a2	-1.212679136	2.10E-08
Brap	1.045870507	2.11E-08
Cenpn	1.811960832	2.11E-08
Sim2	0.274821673	2.11E-08
LOC102555054	0.273996749	2.11E-08
Oasl	1.148955499	2.11E-08
Mgme1	1.367559272	2.12E-08
Brpf3	-0.62877807	2.12E-08
Esrrb	1.758722243	2.12E-08
Pak1ip1	0.74243343	2.12E-08
Rwdd3	0.70329413	2.12E-08
Cx3cr1	-0.266984243	2.12E-08
Tctn1	-0.689048625	2.12E-08
Pou2af1	0.272950589	2.12E-08
LOC102549269	0.272629634	2.13E-08
Cnnm4	2.137804909	2.13E-08
Ranbp17	0.479049509	2.14E-08
Dyrk2	-1.017953511	2.14E-08
Pdyn	-0.266690745	2.14E-08
Igf2bp3	0.458278875	2.14E-08
Pnpla6	-0.827569382	2.15E-08
Esr2	0.404536147	2.16E-08
Adora2a	-0.654899644	2.16E-08
Pcgf6	-0.774825952	2.16E-08
Dus4l	0.476399033	2.16E-08
Cyp3a23/3a1	0.409248738	2.17E-08
Dars2	3.048613086	2.18E-08
Slc2a2	0.278709924	2.18E-08
Kcna4	0.271368991	2.19E-08
LOC100909739	0.433322448	2.20E-08
Trappc3	1.023790439	2.20E-08
Ibsp	0.279634222	2.21E-08
Nup210	-0.265728427	2.21E-08
Hand2	-0.264777321	2.21E-08
Lck	-0.71313202	2.21E-08
Unc93b1	-1.695740524	2.21E-08
P3h4	-0.687693619	2.22E-08
Crhbp	0.277068514	2.22E-08
Slitrk3	0.276238735	2.22E-08
Arhgef9	-0.264993216	2.22E-08
Klhl6	-0.265455166	2.22E-08
Lrrc24	0.270830826	2.23E-08
Pqlc2	-0.265571366	2.23E-08
LOC102550394	-0.265311775	2.23E-08
Klhl14	0.269092506	2.23E-08
Zfp839	0.282022125	2.24E-08
Kmt5c	-1.553268268	2.24E-08
Ndufa6	1.640793756	2.25E-08
Sval2	0.269940086	2.25E-08
RGD1311575	0.277763542	2.25E-08
Mtfp1	4.245444482	2.25E-08
Mcpt3	0.402648345	2.25E-08
Gys1	1.978664613	2.25E-08
Clca1	0.407935062	2.26E-08
Dtx1	0.67614982	2.26E-08
Polr2i	1.135980947	2.26E-08
Snx12	-1.252904941	2.27E-08
Hk1	-2.906735866	2.27E-08
Cyp2b12	0.275325179	2.28E-08
Sorcs1	0.280671356	2.28E-08
Lrp3	-0.653105199	2.28E-08
Cd22	-0.798000579	2.28E-08
Palld	0.269530635	2.28E-08
E2f5	0.818246667	2.29E-08
Mrpl16	1.830162998	2.29E-08
Slc22a25	0.268645221	2.29E-08
St6gal1	-4.186660446	2.31E-08
Mov10	-0.26431639	2.31E-08
Slc40a1	0.65408672	2.32E-08
LOC102556459	0.266507419	2.33E-08
Mfsd3	0.815024141	2.35E-08
Irak1bp1	-0.743008775	2.35E-08
LOC102551991	0.265476458	2.35E-08
Klc3	-0.263613457	2.35E-08
Ppp1r1c	0.268225283	2.36E-08
Pik3r6	-0.263738329	2.36E-08
Tore	0.267734655	2.36E-08
B3gnt5	0.266871316	2.36E-08
Trpv5	0.377338879	2.36E-08
LOC102550290	-0.263209433	2.36E-08
Klhl40	0.338617534	2.37E-08
C2cd6	0.266159215	2.37E-08
Tlr1	0.469300142	2.37E-08
LOC102551809	0.265857164	2.37E-08
Myog	-0.262810557	2.38E-08
Unc5a	0.411174557	2.38E-08
Rbm44	-0.262562289	2.38E-08
Sfmbt1	0.600333302	2.39E-08
Cd248	-0.261786636	2.40E-08
Ehbp1	-1.775554183	2.40E-08
Calb1	0.265130446	2.40E-08
Grsf1	2.003896516	2.40E-08
Prss37	0.458156134	2.42E-08
Yrdc	0.840216873	2.43E-08
Zfand4	-0.671600618	2.43E-08
Semg1	0.264727301	2.43E-08
Fgfbp1	0.402587791	2.43E-08
Chrnd	-0.26083397	2.43E-08
Serp2	-0.261450884	2.43E-08
Dph5	2.099316747	2.45E-08
Ebf4	-0.260394669	2.46E-08
Elac2	1.904160429	2.46E-08
S100a3	-0.260110092	2.46E-08
Shd	-0.259090286	2.47E-08
Gnb4	-1.533183573	2.47E-08
Clstn3	2.095890004	2.47E-08
Dnm3	-0.258867207	2.48E-08
Gfi1b	-0.259261775	2.48E-08
Clec12a	-0.258742971	2.48E-08
Dclre1c	0.40559511	2.48E-08
Man1a2	-0.258626149	2.48E-08
Ctsh	-3.619683582	2.49E-08
Rcn1	-2.645827725	2.49E-08
Chrng	-0.256636073	2.50E-08
Pnldc1	-0.631813125	2.50E-08
Mterf3	1.319987281	2.50E-08
Pacsin3	-1.579073149	2.51E-08
Nhlh1	0.383103004	2.51E-08
Rbp2	0.264227038	2.52E-08
Large1	1.325174839	2.52E-08
Cd33	-0.675947076	2.53E-08
Efhc1	0.401794674	2.54E-08
Cntln	-0.602969949	2.54E-08
Fam69b	-0.572951991	2.54E-08
Pacrgl	0.656130925	2.56E-08
Tmem216	-0.713528143	2.56E-08
Uros	1.316020996	2.57E-08
LOC100909490	-0.255841188	2.57E-08
Cacna1i	-0.255720751	2.57E-08
Atp7b	1.930453987	2.57E-08
Socs1	0.523252194	2.58E-08
Mcoln1	1.921798246	2.58E-08
Scn1a	0.263747859	2.59E-08
Sparc	-2.102445342	2.59E-08
Maip1	2.524311751	2.59E-08
Nat10	-0.787536554	2.60E-08
RatNP-3b	0.260976302	2.60E-08
C1qc	-3.961464722	2.61E-08
Muc2	0.351577985	2.63E-08
Tbx1	-0.254691044	2.63E-08
Itgae	2.911825183	2.63E-08
Cfap161	0.260639505	2.63E-08
Prrg4	0.706626773	2.64E-08
Mcpt9	0.26168592	2.64E-08
Agpat1	0.939877657	2.65E-08
Tmem255a	0.261331299	2.66E-08
Rnf44	1.416673415	2.66E-08
Rbpms2	3.051359681	2.67E-08
Slc41a3	-0.25295312	2.68E-08
LOC100360128	0.387329703	2.68E-08
Tmem144	-0.253791606	2.68E-08
Tmem72	0.4061393	2.68E-08
Prr27	0.262615005	2.70E-08
Steap1	-0.251880476	2.70E-08
Urad	0.262035584	2.70E-08
Dsc2	0.259659862	2.70E-08
Tsga13	0.260034055	2.71E-08
C2cd2l	1.131075124	2.72E-08
Mcpt4	0.343018212	2.73E-08
Kntc1	-0.25142716	2.73E-08
Tle2	-0.251532289	2.73E-08
Pax6	0.259237511	2.73E-08
Ajap1	0.263031332	2.75E-08
LOC679894	0.258818414	2.79E-08
Ptcd1	1.71546549	2.79E-08
Aldoa	1.715053073	2.80E-08
LOC100911251	0.391729498	2.80E-08
Hpgds	-0.587772813	2.80E-08
Tmem229b	-1.545926151	2.81E-08
Ccdc81	-0.250970757	2.81E-08
Cabs1	0.381912341	2.81E-08
Btbd6	1.210618492	2.82E-08
Fbrs	-0.250598817	2.82E-08
Sidt1	-0.250336851	2.83E-08
Wnt11	-0.250127158	2.83E-08
Cartpt	-0.249984865	2.84E-08
Sgtb	-0.249590395	2.85E-08
LOC102550543	-0.249708773	2.86E-08
Invs	-0.505458438	2.86E-08
Ybey	0.386427094	2.86E-08
Ago3	0.258404779	2.87E-08
Armcx2	-2.372501527	2.87E-08
Etfrf1	2.440482856	2.88E-08
Ak7	0.361836404	2.90E-08
Adh7	0.25698081	2.91E-08
Foxg1	0.257537497	2.91E-08
Capn9	0.402647354	2.91E-08
Rfx2	-0.248249443	2.93E-08
RT1-N3	-0.661532759	2.93E-08
Mcf2	0.257997708	2.93E-08
Cxcr2	-0.249025847	2.94E-08
Mrps5	2.300797207	2.94E-08
Vps25	0.255387371	2.94E-08
Ins1	-0.389544904	2.94E-08
Upk3bl1	-0.247986089	2.95E-08
Dvl3	-0.248070044	2.95E-08
Tub	0.256508789	2.96E-08
B3gat1	0.493957563	2.96E-08
Lmtk2	0.828827967	2.97E-08
Mrps35	1.881338808	2.98E-08
Pou3f1	0.253752669	2.99E-08
Tbc1d16	-0.636714238	2.99E-08
Gsta3	0.25438773	3.00E-08
Ahsp	-0.247355049	3.00E-08
Bex2	-0.247236747	3.01E-08
Six5	-0.665902865	3.01E-08
Crh	0.341613158	3.01E-08
Ccdc22	0.967037183	3.02E-08
Lime1	0.377609475	3.02E-08
Tmem126a	1.390722832	3.02E-08
Dll3	-0.247133094	3.02E-08
Arl6ip4	1.959125911	3.03E-08
Myo1f	-1.465190742	3.03E-08
Sgo2	0.254091565	3.03E-08
Miox	-0.246753228	3.03E-08
Cad	4.076467247	3.05E-08
Psd4	-0.246104257	3.07E-08
Polg2	0.581874124	3.07E-08
MGC94199	-1.397372181	3.08E-08
Dpyd	2.889946194	3.09E-08
Tmem67	-0.712299499	3.09E-08
Foxs1	-1.37033643	3.10E-08
Sh3tc2	-0.245792497	3.10E-08
Pdc	0.252594048	3.10E-08
Slc2a13	-1.878921324	3.11E-08
Dhx58	0.42131069	3.12E-08
Izumo4	0.367075679	3.13E-08
Dcbld2	-0.245293493	3.13E-08
Cnga3	-0.245558391	3.14E-08
Bhlhb9	-0.244966703	3.14E-08
Icos	-0.244737947	3.15E-08
St14	-1.01517357	3.15E-08
Chrna7	-0.300358546	3.16E-08
Avp	-0.244323218	3.17E-08
RGD1562107	0.248892206	3.17E-08
Jakmip1	-0.244229879	3.18E-08
Gal	-0.244397983	3.18E-08
Spata33	2.238309176	3.19E-08
Mob2	-0.989089596	3.19E-08
Plec	-2.075215146	3.20E-08
Uck2	-0.564818002	3.20E-08
Fut1	0.248698586	3.21E-08
Cacna1f	-0.243850638	3.21E-08
Cstf1	0.822578158	3.21E-08
Sertm1	0.248517559	3.22E-08
Fbxo44	2.829244074	3.22E-08
LOC102550824	0.249139193	3.22E-08
Msmb	0.252074721	3.22E-08
Dact3	-1.93137784	3.22E-08
RGD1560020_predicted	0.249366174	3.23E-08
Lhx4	0.410771846	3.23E-08
Ranbp1	-0.24366523	3.23E-08
Fgd4	0.248292704	3.23E-08
LOC102549097	0.380441739	3.24E-08
LOC684444	0.248082849	3.25E-08
Zfp90	-0.243565227	3.25E-08
Acot8	2.817839027	3.26E-08
Urm1	0.674803088	3.26E-08
Chst2	-0.243424316	3.27E-08
Prss1	0.41320615	3.27E-08
Chtf8	-1.23660887	3.27E-08
RGD1305807	0.247856227	3.28E-08
Extl2	-0.640010897	3.28E-08
Vegfc	-2.204616585	3.28E-08
Ctsb	-1.396012451	3.28E-08
Hspb7	-1.024109659	3.28E-08
Daam2	-0.888369106	3.28E-08
Cdh15	-0.242975026	3.30E-08
LOC102551929	0.249628025	3.30E-08
Tas2r105	0.250015864	3.31E-08
Wrap73	0.529536708	3.31E-08
Arhgap15	-0.374833461	3.31E-08
Cyp4f4	0.373783824	3.33E-08
Rsbn1	0.65420159	3.33E-08
Cfhr1	0.251283512	3.33E-08
Ugt2b17	0.486651401	3.33E-08
Klkb1	0.250338779	3.35E-08
RGD1306474	0.251656898	3.36E-08
RGD1359634	0.358648526	3.36E-08
Stk11	0.351539283	3.36E-08
Ttc8	0.266680125	3.37E-08
RGD1559600	0.50153116	3.37E-08
Scn2a	0.247019356	3.38E-08
Rsph3	0.351142907	3.38E-08
LOC100912649	-0.242619814	3.39E-08
Slc25a42	3.588595558	3.39E-08
Hk2	3.258663249	3.40E-08
Klf12	0.819419586	3.42E-08
Iqcc	0.308452682	3.42E-08
Sox15	0.349722223	3.43E-08
Uqcr10	2.634381664	3.43E-08
Gabrq	-0.2419463	3.44E-08
Pmel	-0.242053688	3.44E-08
B9d2	-0.242152561	3.44E-08
Epsti1	-0.355678547	3.44E-08
Adamts16	-0.244709634	3.45E-08
Faap20	-0.474723787	3.46E-08
Rbms2	-0.696303817	3.47E-08
Cacna1s	0.380911768	3.47E-08
Shroom1	1.160101288	3.47E-08
Itih1	-0.24142942	3.47E-08
Zfp111	1.065395943	3.47E-08
Neurod2	-0.241579749	3.47E-08
Fam227a	0.362884397	3.49E-08
Lrrc61	-0.23980294	3.49E-08
LOC102550895	-0.240016828	3.50E-08
Abhd10	1.77625449	3.50E-08
Slc13a2	-0.239933555	3.51E-08
Tstd2	-0.24014385	3.51E-08
Mul1	2.156770526	3.52E-08
Klhl21	1.373291441	3.52E-08
Zbtb21	0.503689509	3.53E-08
Ctsm	0.36184891	3.54E-08
LOC100910669	-2.165227804	3.56E-08
Cspg4	1.038851184	3.57E-08
Aifm1	3.185297244	3.57E-08
Gbe1	2.408104542	3.58E-08
Ddc	-0.238602453	3.59E-08
Pvt1	0.575514659	3.61E-08
Pld2	-0.924530415	3.62E-08
Ttc23	-2.144256298	3.62E-08
Fam3d	0.383576864	3.62E-08
Vit	0.366362477	3.64E-08
Dnah7	0.245906209	3.64E-08
Galr1	0.245489823	3.64E-08
Ndufb7	2.160363453	3.64E-08
Sh2d5	2.028073101	3.66E-08
Amn	-0.238465713	3.66E-08
Yipf7	-0.238231653	3.69E-08
Txndc9	1.160917692	3.70E-08
Fbl	-1.032958507	3.70E-08
Ehd4	-1.923706015	3.70E-08
Nek3	0.625484799	3.70E-08
Aida	-1.655037529	3.70E-08
Apobr	0.272226614	3.71E-08
Akr7a2	1.306454732	3.73E-08
Wnt9a	-0.237628419	3.73E-08
Hipk1	-1.304970991	3.74E-08
Pgr	0.244937483	3.75E-08
Bcl2l14	-0.236793074	3.76E-08
Mrpl40	2.356949521	3.76E-08
Stxbp1	-1.030922644	3.76E-08
Fbxl15	0.650359156	3.76E-08
Fgf2	-0.236958293	3.77E-08
Spam1	0.241131247	3.77E-08
Prl7b1	0.240168685	3.77E-08
Cald1	-3.171811493	3.78E-08
Scn3b	-0.236655953	3.79E-08
Vwa8	1.866105556	3.79E-08
LOC100912248	0.241706483	3.79E-08
Lgr6	0.390658816	3.79E-08
Nell2	0.239943725	3.79E-08
Btg4	0.243177145	3.79E-08
Scgb1d4	0.244532781	3.80E-08
Tmod4	0.344619803	3.80E-08
Rpusd4	1.206444219	3.80E-08
Andpro	0.240629561	3.80E-08
Nudt9	1.488174501	3.80E-08
Cacna1d	0.340699371	3.80E-08
Cyp11b1	0.242378605	3.80E-08
Dlk2	0.321058042	3.80E-08
Asgr1	0.240398306	3.80E-08
Cyp17a1	0.242060375	3.81E-08
LOC102553536	0.244071978	3.81E-08
Tram1l1	0.24086418	3.81E-08
LOC102550503	0.35493901	3.82E-08
Ccdc88c	1.019399445	3.82E-08
Gdap1	0.242772505	3.82E-08
Slc13a5	-0.23539889	3.82E-08
LOC100912214	0.336673957	3.82E-08
Vtcn1	0.243568742	3.82E-08
Atp1a4	0.239677948	3.82E-08
Pkp3	0.229982471	3.83E-08
Iars2	1.608517713	3.85E-08
Sertad4	-2.015341568	3.86E-08
Slc38a4	0.239403963	3.86E-08
RGD1565356	-0.235062299	3.87E-08
Eml2	-0.598722447	3.88E-08
Ambra1	1.313543256	3.88E-08
Mtrf1l	1.195514178	3.88E-08
Chrm4	0.362229985	3.89E-08
LOC102549521	0.348675347	3.89E-08
Cdx1	-0.23495781	3.90E-08
Zwilch	0.36344179	3.90E-08
RGD1563060	0.23909121	3.91E-08
Met	0.362147821	3.92E-08
Aasdh	1.271812351	3.93E-08
Fam229b	-0.234825376	3.93E-08
Uggt2	-0.441050061	3.93E-08
Ptprv	0.283153507	3.94E-08
Klk1c4	0.363674283	3.94E-08
Izumo1r	-0.234446941	3.95E-08
Zfp617	0.370404118	3.96E-08
Gfod2	0.799748267	3.96E-08
Oma1	1.768873434	3.96E-08
Nxnl1	-0.234308795	3.97E-08
Cdhr2	0.784174931	3.97E-08
Thoc6	2.015935502	3.97E-08
Klc2	1.347625855	3.98E-08
Ankrd55	0.362941539	3.98E-08
Vps37d	-0.234214944	3.99E-08
Scg3	0.356097308	3.99E-08
Traf5	-0.542659439	3.99E-08
Ccdc181	4.234415709	4.00E-08
Rnf123	-0.987285678	4.00E-08
RGD1565222	-0.233805998	4.01E-08
Ina	-0.234150595	4.01E-08
Dhh	-0.649154298	4.02E-08
LOC102550246	-0.233900302	4.02E-08
Elac1	0.305295478	4.03E-08
Gucy2e	-0.234008476	4.04E-08
Atp1b4	0.23874479	4.06E-08
Dio3	-0.232255497	4.08E-08
Jsrp1	-0.231944871	4.08E-08
Diaph1	-1.969736845	4.08E-08
Coq6	2.771417733	4.08E-08
Ctnna2	0.385101307	4.08E-08
Cyb561d1	-0.231843556	4.09E-08
Grasp	-0.232411838	4.10E-08
LOC100912602	0.389666284	4.10E-08
Gfra2	1.207703441	4.10E-08
Nostrin	0.299443587	4.13E-08
Srd5a1	0.743946082	4.13E-08
IgG-2a	0.373611055	4.13E-08
Abcg8	0.396487935	4.14E-08
Nlgn2	-0.231284738	4.14E-08
Tkt	2.73500028	4.16E-08
Rgs9	-0.356382548	4.17E-08
Hcrtr1	-0.231022323	4.19E-08
Thoc5	1.366094275	4.19E-08
Rpe65	0.344802721	4.21E-08
Rogdi	1.418560246	4.23E-08
Adgra2	-1.926567663	4.23E-08
Pitx2	0.23794338	4.24E-08
Tbxas1	-2.188025406	4.25E-08
Syndig1l	-0.230506794	4.26E-08
Pus7l	-0.230400443	4.26E-08
Cdc37l1	0.754976478	4.26E-08
Muc5b	-0.230836059	4.27E-08
Myo18b	0.349016456	4.27E-08
Mthfsd	1.201084943	4.28E-08
Tefm	2.31215212	4.29E-08
Foxk1	-0.229787958	4.30E-08
Cyp4f5	-1.080829138	4.31E-08
Helq	-0.22992183	4.31E-08
Ifnlr1	-0.230126785	4.31E-08
Dll4	-1.897842207	4.32E-08
Ripor1	-0.375741081	4.32E-08
Hapln4	3.67352499	4.33E-08
Trex2	-0.228958397	4.36E-08
Clpp	2.400058868	4.36E-08
Katnbl1	-0.836246342	4.36E-08
Gjb5	0.304971665	4.37E-08
Plpp3	-2.092046869	4.37E-08
Tmem167b	0.861157594	4.37E-08
Arhgef7	-1.108422191	4.38E-08
Timeless	-0.229236994	4.39E-08
Asb13	0.522822816	4.39E-08
Tyro3	0.374219555	4.40E-08
RGD1304622	-0.228379367	4.41E-08
Pou1f1	0.352047948	4.41E-08
Fam193b	-1.186819235	4.43E-08
Glrx5	1.862320072	4.45E-08
Snx24	-1.188140589	4.45E-08
Nphp1	-0.572666348	4.46E-08
LOC100912093	-1.225627895	4.47E-08
Cldn2	0.303616048	4.49E-08
Angptl6	-0.227633224	4.50E-08
Pms2	-0.345332977	4.51E-08
Nt5c	0.317777785	4.51E-08
Prss27	-0.227375197	4.51E-08
Npat	-0.484580913	4.52E-08
Ift22	1.015430348	4.54E-08
C8a	0.235430861	4.56E-08
LOC102551340	1.566908277	4.56E-08
Shisal2b	0.732563753	4.57E-08
Guca2b	0.351303097	4.58E-08
Rfc5	-1.16913662	4.58E-08
Pald1	2.855466407	4.58E-08
Vwc2	0.237199213	4.59E-08
Tmem240	-0.570085488	4.61E-08
LOC102547700	1.370268743	4.61E-08
Tsx	0.234308055	4.62E-08
LOC100362176	0.235969445	4.63E-08
Bhmt2	0.236472891	4.64E-08
Vav1	-0.226678094	4.64E-08
Srsf7	-0.226385395	4.66E-08
Cuedc1	0.425239633	4.67E-08
Cav3	-0.394472156	4.68E-08
LOC102555739	0.2325492	4.69E-08
Meis2	-1.541758348	4.70E-08
LOC102553524	0.234603076	4.70E-08
Tcerg1l	-0.226159753	4.70E-08
Heatr5b	1.143873794	4.70E-08
Prm1	0.322191349	4.71E-08
Gpr75	-0.225906224	4.71E-08
LOC102554026	0.234963519	4.71E-08
St8sia1	0.277472047	4.72E-08
Poll	0.574869307	4.73E-08
Eps8l2	-0.56283764	4.74E-08
Hjv	0.232004676	4.75E-08
LOC102553820	0.230558157	4.75E-08
Ugt8	0.233214286	4.75E-08
Eif2b5	2.320266014	4.76E-08
Tnn	0.231737404	4.76E-08
Sugt1	1.01518435	4.77E-08
Rab25	-0.224995187	4.79E-08
Pias4	1.024190518	4.80E-08
Pla2r1	-0.222838145	4.81E-08
Ndfip1	-1.681554344	4.81E-08
Bcl2	-0.224742776	4.82E-08
Haus1	-0.857917281	4.82E-08
Zfp182	-0.379530349	4.83E-08
Kcnn4	0.370150314	4.83E-08
Gtpbp1	-0.602980309	4.85E-08
Lims1	-2.535741504	4.85E-08
Iqgap3	-0.223808162	4.86E-08
Mbd4	0.229664459	4.86E-08
Plekha5	-0.747564256	4.86E-08
C4bpb	-0.224566401	4.87E-08
Orc6	-0.224391241	4.88E-08
Celsr3	-0.2237056	4.89E-08
Gabrp	0.230013323	4.90E-08
Entpd6	-0.57065017	4.90E-08
Acsf3	1.358106855	4.95E-08
Mlycd	2.564568281	4.95E-08
Aunip	0.229380434	4.97E-08
Hrh4	0.228701435	4.98E-08
Hsf4	0.70895273	5.01E-08
Fgf10	-0.528538153	5.02E-08
Fam220a	-0.576896514	5.02E-08
Prkag2	1.950992012	5.02E-08
Ddx41	1.369020218	5.03E-08
Mmachc	3.633955784	5.04E-08
Zfp819	0.228395003	5.04E-08
Pak1	-1.597212899	5.06E-08
Exoc3l4	-0.221507112	5.06E-08
Slc6a2	0.244162688	5.06E-08
Kcnj12	0.225147584	5.08E-08
LOC362795	-0.22140618	5.08E-08
Msx1	-0.643595976	5.09E-08
Myh2	0.22489856	5.09E-08
Sycp2	0.227870151	5.12E-08
Klk1	0.330467048	5.12E-08
Spp2	0.348744639	5.12E-08
Vgll2	0.225710644	5.13E-08
Dchs1	-0.484991783	5.13E-08
Myef2	0.223825317	5.14E-08
Tshr	-3.080928895	5.15E-08
Epb41l2	-1.164904042	5.16E-08
Trim47	-2.316438905	5.16E-08
Frem2	-0.221087914	5.16E-08
Fam209a	0.22467216	5.17E-08
Tmem215	0.225479944	5.18E-08
Scgb1b30	0.223623098	5.18E-08
Prl3d1	0.225419976	5.19E-08
Lbh	-1.909780513	5.20E-08
Gata1	-0.220181412	5.20E-08
Map1s	-1.320360261	5.20E-08
Slco1a1	0.224427658	5.20E-08
Pthlh	-1.047113005	5.21E-08
Kcnh5	0.226469971	5.21E-08
Tnnt2	0.22741554	5.21E-08
LOC102548876	-0.220397348	5.22E-08
B3galt5	0.224226431	5.22E-08
Inpp4b	-0.479997276	5.22E-08
LOC102548944	0.358885564	5.22E-08
LOC100909559	0.223274132	5.22E-08
Tnfsf11	0.223497625	5.23E-08
Lsmem1	0.224103535	5.24E-08
Wdr90	0.671209952	5.26E-08
Stfa2l2	0.708120484	5.26E-08
LOC102555246	0.226345238	5.27E-08
Mcoln2	0.227570344	5.30E-08
LOC286992	0.22298878	5.35E-08
Zdhhc9	-1.633745864	5.35E-08
Dis3l2	1.217041328	5.35E-08
Tmbim4	1.166425373	5.38E-08
Nxph3	-0.529566054	5.40E-08
Pgap2	2.140544307	5.40E-08
Smtnl1	0.222584177	5.41E-08
Btbd2	-1.919544736	5.42E-08
Timm17a	3.120964457	5.43E-08
Bin1	-2.461442468	5.44E-08
Cpeb1	-0.702407621	5.44E-08
Ifnb1	0.328223273	5.45E-08
Sdccag8	0.221474767	5.45E-08
Rap2c	0.994931922	5.46E-08
Clec4f	-0.218701583	5.46E-08
Crygb	0.222212268	5.47E-08
Acads	3.010865534	5.47E-08
LOC102549076	0.222812357	5.48E-08
Atp6ap1l	-0.218592709	5.48E-08
Hap1	-0.390150325	5.48E-08
Taf8	-0.805590472	5.50E-08
Znf354b	0.330651349	5.50E-08
Fuk	0.513031084	5.51E-08
Wfdc5	-0.218322625	5.54E-08
Mmp3	0.220610746	5.54E-08
Lepr	-0.218081043	5.57E-08
Rsph1	0.220419994	5.58E-08
Olr442	0.221216542	5.58E-08
Klc4	2.435434958	5.58E-08
Dgkk	0.220081376	5.59E-08
Csnk1e	1.298130412	5.59E-08
Prl8a9	0.221978743	5.59E-08
Cyp2a2	0.220252545	5.60E-08
Grem1	0.221048393	5.60E-08
Cers2	1.156277046	5.61E-08
Cntn5	-0.21797882	5.61E-08
Cbarp	0.705813212	5.63E-08
Cnih1	-1.199225053	5.63E-08
Elmo1	-0.456980082	5.65E-08
Mavs	1.61438834	5.66E-08
Cacna1g	-0.217777724	5.67E-08
Zfp382	0.219705802	5.68E-08
En2	0.219382054	5.69E-08
Usp27x	0.576322993	5.70E-08
Erbb4	0.219183299	5.70E-08
Tpmt	1.036770154	5.71E-08
LOC102552880	0.219551658	5.71E-08
Ndufs8	2.056230228	5.73E-08
Mlf1	0.218575757	5.74E-08
Galk2	1.085031928	5.74E-08
Acot7	2.075831303	5.74E-08
Mrpl51	2.064918708	5.75E-08
Dpy30	0.831010116	5.77E-08
Aff2	-0.217367997	5.77E-08
Tp63	0.334533117	5.78E-08
Trhr	0.21829826	5.79E-08
Rasgrp4	-0.217121426	5.80E-08
Car11	-0.820027342	5.80E-08
Bend5	0.218095763	5.81E-08
Gcfc2	0.342534374	5.81E-08
Edil3	0.218447394	5.81E-08
Grik4	-0.215376241	5.81E-08
Ccl17	-0.215646256	5.83E-08
Slc8b1	-0.865343391	5.84E-08
Slc8a2	-0.216873905	5.84E-08
LOC100911193	-0.216785801	5.85E-08
Kcnj15	-0.215993053	5.85E-08
Cfap410	0.29787699	5.86E-08
Pmpcb	1.774624705	5.86E-08
Cyp27b1	-0.214983173	5.86E-08
LOC100911353	0.217914902	5.87E-08
Crp	-0.21528012	5.87E-08
Rlbp1	0.335871094	5.89E-08
LOC103693340	-0.214794779	5.89E-08
Tfb1m	1.967542794	5.90E-08
Ccdc92	0.50178074	5.92E-08
Ctsql2	0.217741054	5.92E-08
Slc5a6	2.907325301	5.92E-08
Rpa2	-0.619255444	5.92E-08
Oxnad1	3.419000012	5.92E-08
Gbf1	1.144404727	5.95E-08
Klk1c8	0.217484075	5.95E-08
Lrrc75a	-0.535124866	5.97E-08
Kpna6	0.772586906	5.98E-08
Ost4	-1.156705701	6.01E-08
Ocm2	0.217254752	6.02E-08
Zfp668	-0.214022542	6.02E-08
Tada2a	-1.743269593	6.03E-08
Trap1	2.551247498	6.03E-08
Dnajc6	0.905818319	6.05E-08
Pth2r	0.216764084	6.05E-08
Sag	0.411250348	6.06E-08
Kbtbd6	0.217024203	6.07E-08
Zfp652	0.695623839	6.07E-08
Gdnf	0.34294406	6.08E-08
Dlst	2.739911609	6.08E-08
Hes3	0.216351124	6.10E-08
Rlf	1.02828758	6.13E-08
Prox1	-0.21352995	6.14E-08
Tmem37	-0.676715919	6.15E-08
Ndufb8	2.322116276	6.15E-08
Armc1	1.763303203	6.17E-08
Plcd3	-0.762304231	6.18E-08
Uggt1	-0.213412538	6.19E-08
Lgr5	0.215622863	6.19E-08
Itih4	0.215094254	6.19E-08
Arl3	-1.674477334	6.19E-08
Cyp4f1	0.215304295	6.19E-08
RGD1310209	0.215191159	6.20E-08
Upb1	0.214947473	6.20E-08
Dnase2b	0.32765268	6.21E-08
Taf3	0.598679573	6.22E-08
Slc25a29	-0.329518054	6.22E-08
Tsr3	1.07287639	6.22E-08
Fnd3c2	0.214825411	6.23E-08
Tacr2	0.313398091	6.25E-08
Lcn1	0.215761348	6.25E-08
Mefv	-0.2130149	6.26E-08
Mbd6	-0.500571046	6.26E-08
Pggt1b	0.523382461	6.27E-08
Wdr5b	-0.380284708	6.28E-08
Mrgprf	-2.776407478	6.30E-08
Plekha6	-0.58622002	6.30E-08
Zbtb12	0.560561169	6.32E-08
Slc7a4	-0.211529123	6.33E-08
Klk1b3	0.214321299	6.33E-08
Wnt10a	-0.212592015	6.33E-08
Gmnn	-0.211402792	6.35E-08
Svs3a	0.214161482	6.36E-08
LOC100910970	0.214011243	6.37E-08
Cit	-0.211313648	6.37E-08
Vbp1	0.493745342	6.40E-08
Armc6	1.846139982	6.40E-08
Fblim1	-1.606966979	6.41E-08
Chit1	-0.212094768	6.41E-08
