gene	logFC	P.Value
H1fx	-0.692742495	1.21E-09
Runx1	-1.408200223	1.21E-09
A3galt2	-0.703825927	1.21E-09
Ldlrad3	-1.371627533	1.21E-09
Jdp2	-1.323488104	1.22E-09
Bin2a	-0.704347702	1.22E-09
Rad9b	0.855114334	1.24E-09
Ecsit	3.115162769	1.24E-09
Cbx6	-1.761037463	1.24E-09
Pstpip1	-0.694759841	1.25E-09
Anks1b	0.878966395	1.25E-09
Fbln5	-3.19389909	1.27E-09
Negr1	-0.696734623	1.27E-09
Lrfn4	-0.697161143	1.28E-09
Sctr	0.816249374	1.29E-09
Aqp2	0.479185255	1.29E-09
Zxdb	0.71317586	1.30E-09
Lpcat4	-0.705792474	1.30E-09
Slc35d2	-0.701641023	1.30E-09
MGC93861	0.668497524	1.32E-09
Ubiad1	1.189946818	1.32E-09
Isyna1	-1.464686267	1.32E-09
Acox3	2.057963005	1.33E-09
Gli2	-0.708483227	1.34E-09
Nradd	-1.26838092	1.34E-09
Letm2	0.719014924	1.34E-09
Mfsd13a	-1.330790713	1.35E-09
Giot1	0.636787347	1.36E-09
Tmem81	-0.689463196	1.36E-09
Casp4	-2.064387993	1.36E-09
Slc39a11	-1.272463304	1.38E-09
Pgf	0.869061631	1.39E-09
B4galt4	-1.189262232	1.40E-09
LOC102550324	1.380141901	1.42E-09
E2f1	-1.312734193	1.42E-09
Mterf2	1.428124677	1.43E-09
Prmt3	0.478690102	1.44E-09
Ank1	0.701992874	1.44E-09
RGD1309310	0.548048615	1.45E-09
Erlin1	-0.912629232	1.46E-09
Tpbgl	-1.490763001	1.47E-09
Plaur	-1.304113049	1.47E-09
Hmbox1	0.981459887	1.51E-09
Nme4	1.915498478	1.52E-09
Snx33	-2.776607326	1.52E-09
Apbb2	-1.575161665	1.53E-09
Ndufa7	2.113796599	1.54E-09
Zfp575	-0.686459977	1.55E-09
Duoxa1	-0.721348226	1.55E-09
Mafk	-2.133875584	1.56E-09
Anxa9	0.564772999	1.56E-09
Lrmp	-1.198910641	1.56E-09
Smg6	-0.720768056	1.57E-09
Atp5me	2.058532688	1.57E-09
Aptx	0.447432958	1.58E-09
Zfp609	1.133880114	1.58E-09
Recql5	-0.614183388	1.58E-09
Crlf3	-2.085943115	1.59E-09
Mzf1	-1.635786154	1.59E-09
Ndufs4	2.507159386	1.60E-09
Nek6	-2.563934863	1.61E-09
Neurog1	0.798126303	1.61E-09
Polr3g	1.245375102	1.62E-09
Setd6	1.142779955	1.64E-09
Gga3	-0.772009226	1.64E-09
Cdh3	-0.778695537	1.65E-09
Coa7	1.399601328	1.66E-09
Ikbip	-1.338322868	1.66E-09
Slc12a3	0.875886572	1.67E-09
Csgalnact2	-2.540554249	1.67E-09
Mettl27	-0.621174179	1.68E-09
Vegfd	-1.467465173	1.70E-09
Cck	1.515725162	1.70E-09
Adat3	-1.186473102	1.71E-09
Olr857	-0.60779467	1.71E-09
Brwd3	0.594306882	1.73E-09
Sult5a1	-1.968895274	1.74E-09
Thsd7a	-1.50875335	1.75E-09
Snai1	-1.381462447	1.77E-09
Crat	2.984261902	1.77E-09
Ncaph	-0.619315484	1.77E-09
Slc6a3	-0.615960476	1.78E-09
Dnm1	-2.607058015	1.78E-09
Pkn3	-1.244110404	1.78E-09
Wdr19	-0.60700514	1.78E-09
Hist1h1d	1.267618305	1.79E-09
Itgam	-0.608936046	1.80E-09
Prrt4	-0.782673041	1.81E-09
Wasf3	-0.62684685	1.82E-09
LOC102547990	0.832567237	1.83E-09
Notch3	-0.650450598	1.85E-09
Rassf7	1.857252085	1.85E-09
RGD1308065	0.460301543	1.85E-09
Slc16a6	0.723149149	1.86E-09
Rgs12	-0.781281266	1.87E-09
Gpalpp1	0.940363304	1.87E-09
Adcy2	-0.783254528	1.88E-09
RGD1561149	-1.153981471	1.88E-09
Hcn2	-1.181203329	1.88E-09
Dpp9	-1.588877343	1.88E-09
Tmem107	-0.605304787	1.88E-09
Apbb3	-0.651021018	1.89E-09
Arhgap6	-1.172186053	1.89E-09
Tmem51	-0.651928128	1.89E-09
Ddah2	-2.136687416	1.91E-09
Sh3d19	-1.683663164	1.91E-09
Tead3	-1.215355376	1.92E-09
Fchsd2	-1.902990712	1.94E-09
Mllt11	-0.79076237	1.95E-09
Fam20c	-1.232857564	1.97E-09
Il10ra	-1.166674193	1.98E-09
RGD1566401	-0.792805319	1.98E-09
Msl3l2	-1.379425069	1.99E-09
Igsf8	-0.757054182	2.00E-09
Nrxn2	-1.253909405	2.01E-09
Igsf10	-3.074008742	2.03E-09
Cln3	-0.652858007	2.03E-09
Tstd1	-0.629078293	2.03E-09
Nog	-0.601015709	2.03E-09
Acacb	1.355655729	2.04E-09
Prickle2	-2.549618982	2.05E-09
Mrm3	1.704172668	2.05E-09
Kcnj6	0.447549229	2.06E-09
Zswim5	-0.63931621	2.06E-09
LOC102548917	1.496265609	2.07E-09
Pex12	2.552786972	2.07E-09
Mau2	2.02475132	2.08E-09
Ptges	-0.795381004	2.09E-09
Zfp821	-0.768310887	2.09E-09
Nab2	-0.638509804	2.10E-09
Tubb2b	-1.127093806	2.10E-09
Agtpbp1	0.984552143	2.11E-09
Fam71e1	-1.17717172	2.11E-09
Slc16a9	-0.635791424	2.12E-09
LOC102550392	-0.635472595	2.12E-09
Nptxr	-0.762440968	2.13E-09
Cdc20	-0.581560482	2.14E-09
RGD1311343	-0.653633485	2.14E-09
Syt8	-0.738342133	2.15E-09
Cd44	-1.386493207	2.15E-09
Src	-1.18012596	2.15E-09
Ndufs3	2.119327751	2.16E-09
Aldh3b1	-0.761015834	2.17E-09
Kb15	-0.54235057	2.17E-09
Usp13	-0.669491682	2.18E-09
LOC102546843	-0.553794389	2.18E-09
Klhl8	-0.550356489	2.18E-09
Tlr7	-0.551837059	2.19E-09
Syk	-1.6704958	2.20E-09
Dnajc18	-0.640669984	2.20E-09
Wnt1	-0.577160828	2.20E-09
Cpne5	-0.805008229	2.20E-09
Btk	-0.549043466	2.21E-09
Usp48	-1.693349351	2.23E-09
Mettl7b	-0.633148194	2.23E-09
Gna15	-0.805793685	2.23E-09
Pnpla4	0.448477776	2.23E-09
Itga2b	-0.740455135	2.24E-09
Mog	0.508422027	2.24E-09
Arhgap4	-0.966750432	2.25E-09
Unk	-0.551338459	2.26E-09
Zic2	-1.145696502	2.26E-09
Gnaz	-0.541696415	2.27E-09
Bcl9	-0.555452245	2.28E-09
Gng2	-1.226006607	2.28E-09
Kcnq4	-0.799568758	2.28E-09
Gmip	-0.73470223	2.29E-09
Mier2	-0.801109001	2.30E-09
Tlr2	-1.011399391	2.30E-09
Cops7b	-1.219210466	2.31E-09
LOC100910286	-1.57815074	2.31E-09
LOC102548822	-0.733173316	2.31E-09
Bahcc1	-0.540974767	2.31E-09
Aqp12a	-0.647196671	2.32E-09
Zfp282	-0.556547751	2.33E-09
Rffl	-0.672753911	2.34E-09
Slc36a1	-0.741048331	2.35E-09
Tbkbp1	2.894878373	2.35E-09
Ralgps2	-0.746311969	2.35E-09
Kcns3	-0.545840478	2.36E-09
Tmem39b	-1.390033529	2.36E-09
Faap100	-0.540286869	2.36E-09
Mcrip1	-1.648651499	2.37E-09
Ppm1j	0.456895393	2.38E-09
Fgf16	0.511967771	2.38E-09
Blnk	-0.558490064	2.38E-09
Tmem14a	-1.022911846	2.39E-09
Iqce	0.456510717	2.39E-09
Slc16a10	-0.576160039	2.40E-09
Actl7b	0.452589288	2.40E-09
Rnf169	-1.204977672	2.40E-09
LOC100912202	0.403481877	2.41E-09
Kbtbd3	1.277218774	2.42E-09
Adgrb2	-0.672162142	2.43E-09
Zfp512	-1.038879182	2.43E-09
Nagpa	-1.0091827	2.43E-09
Haus8	0.403742524	2.45E-09
LOC100912247	-1.337341569	2.45E-09
Mdfi	-0.558765555	2.45E-09
Evpl	-0.539109408	2.45E-09
Ly6l	-0.591430582	2.46E-09
Slc18a2	-0.564250783	2.46E-09
Zfp280c	1.102676387	2.47E-09
Cyp46a1	-1.047223421	2.48E-09
Ier5l	-0.809467295	2.50E-09
Tmem117	0.808725111	2.51E-09
Cox20	1.777787807	2.52E-09
Kcnip3	-1.360961205	2.52E-09
Tmem229a	-0.645122261	2.53E-09
Chst11	-0.985472931	2.54E-09
Rasa2	-1.05002994	2.57E-09
Sirt7	-1.198547618	2.57E-09
Rapgefl1	-0.533707854	2.58E-09
Sucla2	3.075335039	2.58E-09
Arhgap9	-1.088225273	2.59E-09
Mvd	0.419962378	2.61E-09
Zfp9	-0.526313967	2.61E-09
Mss51	-1.042996568	2.61E-09
Mapkapk3	1.698464725	2.62E-09
Tmc6	-1.120792166	2.62E-09
Tor3a	-1.056239966	2.62E-09
Cntfr	-0.488431767	2.64E-09
Mir29c	-0.485376057	2.65E-09
Chmp4c	-0.529122502	2.66E-09
Neurl3	-1.053285385	2.69E-09
Bmp7	-1.232759224	2.71E-09
Mybpc2	6.155339664	2.72E-09
Mmp17	-1.150602173	2.72E-09
Sema3f	-1.317476161	2.72E-09
Syndig1	-0.489292354	2.73E-09
Ubap1l	0.824355842	2.74E-09
Ly49s7	0.438637043	2.75E-09
Rflna	-0.530032246	2.75E-09
Hsd11b2	-0.567708821	2.76E-09
Reep2	-0.531792769	2.77E-09
LOC102557307	0.417035804	2.77E-09
Tti2	0.411799826	2.77E-09
LOC100911992	-0.483477625	2.78E-09
Tesmin	-1.057698691	2.78E-09
Rsph10b	-1.069567689	2.79E-09
Rrp9	-1.359459671	2.79E-09
Amy2a3	0.425631732	2.79E-09
Myo7a	-0.814096392	2.80E-09
Rasgrf1	-0.531027267	2.80E-09
Myoz1	-0.813740657	2.81E-09
Batf3	-1.071331075	2.81E-09
Tmem201	2.353325942	2.82E-09
Scarf2	-1.080669613	2.83E-09
Coro6	2.879750911	2.83E-09
Tnc	-0.908166934	2.85E-09
Tec	-1.175824781	2.85E-09
Col27a1	-0.491169721	2.85E-09
Adgrb3	0.440852994	2.86E-09
Rnf112	0.522460064	2.86E-09
Kmt2b	-1.270467281	2.86E-09
Nfatc2	0.901810528	2.86E-09
Prlr	1.256110076	2.89E-09
Hcrt	0.485937904	2.89E-09
Chst1	-1.329192797	2.90E-09
Kctd13	2.23147388	2.91E-09
Adck1	1.313497228	2.93E-09
Relb	-1.00922845	2.93E-09
Gnmt	0.956115837	2.95E-09
Rsl24d1	0.966616699	2.95E-09
Sp2	0.672283168	2.96E-09
Dhx38	-1.120914887	2.97E-09
Clcn7	0.607968947	3.01E-09
Synpo2	-3.32062807	3.02E-09
Cdh12	0.417890579	3.03E-09
Chst14	-1.642550498	3.04E-09
Mcee	1.408484091	3.05E-09
Fut9	0.427607985	3.07E-09
Elmo3	-0.972429253	3.10E-09
Lrpprc	2.976825707	3.10E-09
Zfp335	-1.111223105	3.14E-09
Nr2f6	0.948645907	3.16E-09
Fbxo21	-0.969604284	3.16E-09
Syt16	0.424333784	3.17E-09
Nfkbid	-0.492734082	3.18E-09
Polr3c	1.409198369	3.19E-09
Prb1	0.598024778	3.19E-09
Il17rc	-1.075101571	3.20E-09
Cryz	1.880550147	3.22E-09
Atp2a3	-3.39970282	3.22E-09
Slc35d3	0.412712083	3.23E-09
Itsn1	-0.480996621	3.23E-09
Zc4h2	-1.036201559	3.24E-09
Zfp772	-0.516467429	3.26E-09
Uba7	-0.493064433	3.27E-09
Mrpl4	2.565092482	3.28E-09
Yaf2	2.490262595	3.29E-09
Ahcyl1	1.758500756	3.29E-09
Hck	-1.893637015	3.31E-09
Phospho1	3.801757473	3.31E-09
Casc1	-0.521459846	3.33E-09
RGD1306271	0.540078368	3.34E-09
Ntrk3	1.490762144	3.35E-09
