abc,agh,adf
zma-miR160a-5p,9_3973,6_8731
zma-miR156j-5p,8_16082,6_8601
2_33704,8_15447,6_8579
zma-miR160g-5p,8_15205,6_8154
zma-miR160e,8_14377,6_8150
zma-miR160d-5p,8_14326,6_11745
6_9119,8_13885,6_11518
5_25100,7_18384,6_10485
4_41350,7_18129,6_10479
3_27696,7_17851,5_25307
zma-miR399j-3p,7_16833,5_25100
zma-miR399i-3p,6_9885,5_23885
zma-miR399e-3p,6_9863,5_23539
2_32926,6_9844,5_23377
zma-miR397b-3p,6_9592,5_22892
zma-miR159g-3p,6_9273,5_21802
4_39665,6_9119,5_21208
3_27526,6_8731,5_20657
3_26302,6_8601,5_20600
zma-miR399h-3p,6_8579,5_20382
zma-miR399c-3p,6_8154,4_42335
zma-miR399a-3p,6_8150,4_41803
6_9592,6_7809,4_41802
1_44837,6_11745,4_41350
zma-miR159d-5p,6_11518,4_41324
zma-miR159c-5p,6_10485,4_41144
zma-miR167b-3p,6_10479,4_40566
zma-miR166g-5p,5_25307,4_40012
4_39316,5_25100,4_39689
10_3554,5_23885,4_39665
zma-miR156g-3p,5_23539,4_39426
zma-miR156f-3p,5_23377,4_39316
zma-miR156d-3p,5_22892,4_38163
2_32815,5_21802,4_37705
6_8601,5_21208,4_37431
2_34967,5_20657,3_30469
10_1721,5_20600,3_30327
7_18129,5_20382,3_30204
6_11518,4_42335,3_30137
zma-miR160f-5p,4_41803,3_27700
zma-miR169p-5p,4_41802,3_27696
zma-miR164g-3p,4_41350,3_27526
9_4639,4_41324,3_26759
zma-miR171f-5p,4_41144,3_26302
zma-miR2118b,4_40566,3_25869
zma-miR171k-3p,4_40012,3_25850
zma-miR171h-3p,4_39689,3_25760
2_34613,4_39665,3_25521
zma-miR529-5p,4_39426,2_35339
zma-miR395b-3p,4_39316,2_34756
zma-miR164h-3p,4_38163,2_34613
zma-miR164c-3p,4_37705,2_34270
zma-miR1432-5p,4_37431,2_34203
zma-miR399c-5p,3_30469,2_33704
zma-miR395p-3p,3_30327,2_33341
zma-miR395n-3p,3_30204,2_32954
zma-miR395j-3p,3_30137,2_32926
zma-miR395i-3p,3_27700,2_32818
zma-miR395h-3p,3_27696,2_32815
zma-miR395g-3p,3_27526,2_32193
zma-miR395f-3p,3_26759,2_31934
zma-miR395e-3p,3_26302,2_30868
zma-miR395d-3p,3_25869,2_30794
zma-miR395a-3p,3_25850,2_30731
zma-miR172d-5p,3_25760,2_30729
zma-miR172b-5p,3_25521,10_471
zma-miR169c-3p,2_35339,10_3554
zma-miR166i-5p,2_34967,10_3393
zma-miR156j-3p,2_34756,10_3391
zma-miR156a-3p,2_34613,10_3152
zma-miR399f-5p,2_34270,10_2682
zma-miR397a-5p,2_34203,10_1721
zma-miR171c-3p,2_33704,10_1206
zma-miR171b-3p,2_33341,10_1111
zma-miR159f-5p,2_32954,10_1105
